# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.28750,MgII_2796,0.071,0.008 ,-,12.40,0.04 ,-,40,-,-,YYYY,Y,I
-,-,2.28750,MgII_2803,0.043,0.008 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.28750,MgII,-,-,-,12.40,0.04 ,-,40, 5.1, 0.0,YYYY,Y,I
2,-,2.69859,MgII_2796,0.137,0.030 ,-,12.78,0.12 ,-,57,-,-,YYYY,Y,I
-,-,2.69859,MgII_2803,0.091,0.022 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.69859,MgII,-,-,-,12.78,0.12 ,-,56, 7.5, 0.0,YYYY,Y,I
3,-,3.12751,MgII_2796,0.930,0.076 ,-,14.12,0.25 ,-,155,-,-,YYYY,Y,I
-,-,3.12751,MgII_2803,0.746,0.023 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.12689,MgII,-,-,-,13.48,0.05 ,-,73,22.2, 2.2,YYYY,Y,I
-,3b,3.12831,MgII,-,-,-,14.01,0.33 ,-,61,11.5, 1.6,YYYY,Y,I
3,-,3.12759,FeII_2382,0.437,0.020 ,-,13.69,0.04 ,-,145,-,-,YYYY,Y,I
-,-,3.12759,FeII_2600,0.423,0.045 ,-,-,-,-,-,-,-,-,-,-
-,-,3.12759,FeII_2344,0.211,0.018 ,-,-,-,-,-,-,-,-,-,-
-,-,3.12759,FeII_2586,0.168,0.025 ,-,-,-,-,-,-,-,-,-,-
-,-,3.12759,FeII_2374,0.070,0.032 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.12689,FeII,-,-,-,13.27,0.04 ,-,63,22.2, 2.2,YYYY,Y,I
-,3b,3.12831,FeII,-,-,-,13.47,0.06 ,-,45,11.5, 1.6,YYYY,Y,I
4,-,3.26590,MgI_2852,0.050,0.015 ,-,11.61,0.16 ,-,63,-,-,YYYY,N,I
-,4a,3.26590,MgI,-,-,-,11.61,0.16 ,-,63,13.9, 3.9,YYYY,N,I
4,-,3.26633,MgII_2796,0.996,0.015 ,-,14.04,0.26 ,-,121,-,-,YYYY,Y,I
-,-,3.26633,MgII_2803,0.751,0.016 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.26590,MgII,-,-,-,13.91,0.34 ,-,65,13.9, 3.9,YYYY,Y,I
-,4b,3.26650,MgII,-,-,-,13.44,0.07 ,-,124,48.3, 4.7,YYYY,Y,I
4,-,3.26620,FeII_2382,0.407,0.054 ,-,13.64,0.05 ,-,106,-,-,YYYY,Y,I
-,-,3.26620,FeII_2600,0.391,0.026 ,-,-,-,-,-,-,-,-,-,-
-,-,3.26620,FeII_2344,0.192,0.032 ,-,-,-,-,-,-,-,-,-,-
-,-,3.26620,FeII_2586,0.152,0.014 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.26590,FeII,-,-,-,13.47,0.05 ,-,61,13.9, 3.9,YYYY,Y,I
-,4b,3.26650,FeII,-,-,-,13.15,0.10 ,-,124,48.3, 4.7,YYYY,Y,I
5,-,3.39122,MgI_2852,1.468,0.027 ,-,13.26,0.02 ,-,257,-,-,YYYY,N,I
-,5a,3.38938,MgI,-,-,-,12.50,0.04 ,-,116,44.4, 2.1,YYYY,N,I
-,5b,3.39179,MgI,-,-,-,13.17,0.02 ,-,154,62.3, 1.6,YYYY,N,I
5,-,3.39092,MgII_2796,3.549, $\pm$ 0.03 ,-,15.23, $\pm$ 0.13 ,S,306,-,-,YYYY,Y,I
-,-,3.39092,MgII_2803,3.354, $\pm$ 0.03 ,-,-,-,-,-,-,-,-,-,-
-,5a,3.38938,MgII,-,-,-,14.66,0.11 ,S,137,44.4, 2.1,YYYY,Y,I
-,5b,3.39179,MgII,-,-,-,15.09,0.18 ,S,205,62.3, 1.6,YYYY,Y,I
5,-,3.39105,FeII_2600,2.532,0.022 ,-,14.92,0.02 ,-,269,-,-,YYYY,Y,I
-,-,3.39105,FeII_2382,2.431,0.024 ,-,-,-,-,-,-,-,-,-,-
-,-,3.39105,FeII_2344,1.759,0.096 ,-,-,-,-,-,-,-,-,-,-
-,-,3.39105,FeII_2586,1.637,0.062 ,-,-,-,-,-,-,-,-,-,-
-,-,3.39105,FeII_2374,0.905,0.057 ,-,-,-,-,-,-,-,-,-,-
-,5a,3.38938,FeII,-,-,-,14.03,0.02 ,-,116,44.4, 2.1,YYYY,Y,I
-,5b,3.39179,FeII,-,-,-,14.86,0.02 ,-,172,62.3, 1.6,YYYY,Y,I
5,-,3.39179,MnII_2576,0.215,0.031 ,-,13.04,0.05 ,-,154,-,-,YYYY,N,I
-,-,3.39179,MnII_2594,0.173,0.021 ,-,-,-,-,-,-,-,-,-,-
-,5b,3.39179,MnII,-,-,-,13.04,0.05 ,-,154,62.3, 1.6,YYYY,N,I
