# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.22240,MgII_2796,1.105,0.010 ,-,13.78,0.15 ,-,120,-,-,YYYY,Y,I
-,-,2.22240,MgII_2803,0.788,0.010 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.22216,MgII,-,-,-,13.57,0.18 ,-,87,33.5, 5.1,YYYY,Y,I
-,1b,2.22270,MgII,-,-,-,13.36,0.24 ,-,98,39.0, 9.5,YYYY,Y,I
2,-,3.12994,MgII_2796,0.514,0.021 ,-,13.30,0.05 ,-,105,-,-,YYYY,Y,I
-,-,3.12994,MgII_2803,0.322,0.029 ,-,-,-,-,-,-,-,-,-,-
-,2a,3.12982,MgII,-,-,-,13.26,0.05 ,-,75,25.8, 3.6,YYYY,Y,I
-,2b,3.13079,MgII,-,-,-,12.24,0.23 ,-,59,16.2,22.8,YYYY,Y,I
2,-,3.12982,FeII_2382,0.122,0.015 ,-,12.94,0.08 ,-,71,-,-,YYYY,Y,I
-,-,3.12982,FeII_2600,0.111,0.021 ,-,-,-,-,-,-,-,-,-,-
-,-,3.12982,FeII_2344,0.046,0.014 ,-,-,-,-,-,-,-,-,-,-
-,-,3.12982,FeII_2586,0.034,0.020 ,-,-,-,-,-,-,-,-,-,-
-,2a,3.12982,FeII,-,-,-,12.94,0.08 ,-,71,25.8, 3.6,YYYY,Y,I
3,-,3.16586,MgI_2852,1.752,0.02 ,-,13.62,0.04 ,S,171,-,-,YYYY,N,I
-,3a,3.16404,MgI,-,-,-,11.71,0.23 ,-,83,29.9, 5.0,YYYY,N,I
-,3b,3.16484,MgI,-,-,-,12.75,0.06 ,-,73,25.1, 2.4,YYYY,N,I
-,3c,3.16622,MgI,-,-,-,13.56,0.05 ,S,121,47.9, 1.1,YYYY,N,I
3,-,3.16547,MgII_2796,3.398,0.07 ,-,15.57,0.25 ,S,289,-,-,YYYY,Y,I
-,-,3.16547,MgII_2803,3.172,0.03 ,-,-,-,-,-,-,-,-,-,-
-,3d,3.16547,MgII,-,-,-,15.57,0.25 ,S,289,79.1, 5.7,YYYY,Y,I
3,-,3.16559,FeII_2600,2.526,0.106 ,-,15.54,0.04 ,-,239,-,-,YYYY,Y,I
-,-,3.16559,FeII_2382,2.363,0.034 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16559,FeII_2586,2.122,0.048 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16559,FeII_2344,2.055,0.018 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16559,FeII_2374,1.622,0.036 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16559,FeII_2260,0.331,0.021 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16559,FeII_2249,0.254,0.036 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.16404,FeII,-,-,-,13.96,0.09 ,-,79,29.9, 5.0,YYYY,Y,I
-,3b,3.16484,FeII,-,-,-,14.84,0.10 ,-,81,25.1, 2.4,YYYY,Y,I
-,3c,3.16622,FeII,-,-,-,15.43,0.04 ,-,162,47.9, 1.1,YYYY,Y,I
3,-,3.16596,MnII_2576,0.583,0.049 ,-,13.55,0.04 ,-,169,-,-,YYYY,N,I
-,-,3.16596,MnII_2594,0.484,0.030 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16596,MnII_2606,0.365,0.038 ,-,-,-,-,-,-,-,-,-,-
-,3b,3.16484,MnII,-,-,-,12.78,0.13 ,-,73,25.1, 2.4,YYYY,N,I
-,3c,3.16622,MnII,-,-,-,13.47,0.04 ,-,120,47.9, 1.1,YYYY,N,I
3,-,3.16590,CaII_3934,1.659,0.050 ,-,13.53,0.01 ,-,170,-,-,YYYY,N,I
-,-,3.16590,CaII_3969,1.086,0.017 ,-,-,-,-,-,-,-,-,-,-
-,3b,3.16484,CaII,-,-,-,12.82,0.03 ,-,73,25.1, 2.4,YYYY,N,I
-,3c,3.16622,CaII,-,-,-,13.44,0.01 ,-,120,47.9, 1.1,YYYY,N,I
4,-,3.16849,MgII_2796,0.315,0.019 ,-,12.96,0.09 ,-,95,-,-,YYYY,Y,I
-,-,3.16849,MgII_2803,0.175,0.018 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.16849,MgII,-,-,-,12.96,0.09 ,-,95,36.0, 7.9,YYYY,Y,I
4,-,3.16849,FeII_2382,0.130,0.024 ,-,12.95,0.10 ,-,91,-,-,YYYY,Y,I
-,-,3.16849,FeII_2600,0.118,0.023 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16849,FeII_2344,0.048,0.014 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16849,FeII_2586,0.035,0.024 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16849,FeII_2374,0.014,0.055 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.16849,FeII,-,-,-,12.95,0.10 ,-,91,36.0, 7.9,YYYY,Y,I
5,-,3.40658,MgII_2796,0.646,0.046 ,-,13.27,0.04 ,-,268,-,-,YYYY,Y,I
-,-,3.40658,MgII_2803,0.356,0.067 ,-,-,-,-,-,-,-,-,-,-
-,5a,3.40489,MgII,-,-,-,12.81,0.05 ,-,89,33.1, 6.2,YYYY,Y,I
-,5b,3.40664,MgII,-,-,-,12.53,0.09 ,-,59,16.3, 9.0,YYYY,Y,I
-,5c,3.40792,MgII,-,-,-,12.94,0.06 ,-,85,31.5, 6.0,YYYY,Y,I
6,-,3.43105,MgII_2796,0.855,0.018 ,-,13.88,0.15 ,-,176,-,-,YYYY,Y,I
-,-,3.43105,MgII_2803,0.630,0.043 ,-,-,-,-,-,-,-,-,-,-
-,6a,3.43000,MgII,-,-,-,13.75,0.20 ,-,53,11.5, 1.6,YYYY,Y,I
-,6b,3.43186,MgII,-,-,-,13.29,0.04 ,-,77,27.6, 2.2,YYYY,Y,I
6,-,3.43126,FeII_2382,0.252,0.027 ,-,13.28,0.05 ,-,176,-,-,YYYY,Y,I
-,-,3.43126,FeII_2600,0.232,0.030 ,-,-,-,-,-,-,-,-,-,-
-,-,3.43126,FeII_2344,0.066,0.025 ,-,-,-,-,-,-,-,-,-,-
-,6a,3.43000,FeII,-,-,-,12.79,0.09 ,-,52,11.5, 1.6,YYYY,Y,I
-,6b,3.43186,FeII,-,-,-,13.10,0.06 ,-,79,27.6, 2.2,YYYY,Y,I
7,-,3.75383,MgII_2796,0.156,0.010 ,-,12.70,0.06 ,-,55,-,-,YYYY,Y,I
-,-,3.75383,MgII_2803,0.090,0.012 ,-,-,-,-,-,-,-,-,-,-
-,7a,3.75383,MgII,-,-,-,12.70,0.06 ,-,55,13.6, 4.7,YYYY,Y,I
8,-,3.75747,MgII_2796,0.170,0.014 ,-,13.08,0.08 ,-,46,-,-,YYYY,Y,I
-,-,3.75747,MgII_2803,0.138,0.012 ,-,-,-,-,-,-,-,-,-,-
-,8a,3.75749,MgII,-,-,-,13.08,0.08 ,-,46, 6.2, 0.0,YYYY,Y,I
9,-,4.51679,MgII_2796,0.787,0.012 ,-,13.56,0.02 ,-,132,-,-,YYYY,Y,I
-,-,4.51679,MgII_2803,0.527,0.012 ,-,-,-,-,-,-,-,-,-,-
-,9a,4.51470,MgII,-,-,-,11.95,0.14 ,-,69,22.1,12.4,YYYY,Y,I
-,9b,4.51620,MgII,-,-,-,13.17,0.02 ,-,67,21.6, 1.6,YYYY,Y,I
-,9c,4.51755,MgII,-,-,-,13.31,0.03 ,-,59,17.3, 1.5,YYYY,Y,I
9,-,4.51706,FeII_2382,0.155,0.012 ,-,13.04,0.05 ,-,121,-,-,YYYY,Y,I
-,-,4.51706,FeII_2600,0.141,0.067 ,-,-,-,-,-,-,-,-,-,-
-,-,4.51706,FeII_2344,0.058,0.014 ,-,-,-,-,-,-,-,-,-,-
-,-,4.51706,FeII_2586,0.043,0.020 ,-,-,-,-,-,-,-,-,-,-
-,9b,4.51620,FeII,-,-,-,12.57,0.12 ,-,67,21.6, 1.6,YYYY,Y,I
-,9c,4.51755,FeII,-,-,-,12.86,0.05 ,-,61,17.3, 1.5,YYYY,Y,I
9,-,4.51678,AlII_1670,0.201,0.011 ,-,12.76,0.05 ,-,181,-,-,YYYY,N,I
-,9a,4.51470,AlII,-,-,-,11.79,0.19 ,-,65,22.1,12.4,YYYY,N,I
-,9b,4.51620,AlII,-,-,-,12.21,0.07 ,-,63,21.6, 1.6,YYYY,N,I
-,9c,4.51755,AlII,-,-,-,12.55,0.06 ,-,55,17.3, 1.5,YYYY,N,I
10,-,4.72362,MgII_2796,0.260,0.006 ,-,12.94,0.02 ,-,65,-,-,YYYY,Y,I
-,-,4.72362,MgII_2803,0.153,0.007 ,-,-,-,-,-,-,-,-,-,-
-,10a,4.72362,MgII,-,-,-,12.94,0.02 ,-,65,20.3, 1.6,YYYY,Y,I
