# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.16675,MgI_2852,0.114,0.012 ,-,11.98,0.07 ,-,75,-,-,YYYN,N,I
-,1a,2.16675,MgI,-,-,-,11.98,0.07 ,-,75,27.5, 1.3,YYYN,N,I
1,-,2.16675,MgII_2796,0.850, $\pm$ 0.01 ,-,14.03, $\pm$ 0.06 ,S,79,-,-,YYYY,Y,I
-,-,2.16675,MgII_2803,0.725, $\pm$ 0.01 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.16675,MgII,-,-,-,14.03,0.06 ,S,79,27.5, 1.3,YYYY,Y,I
2,-,2.17316,MgII_2796,0.346,0.026 ,-,13.34,0.09 ,-,149,-,-,YYYY,Y,I
-,-,2.17316,MgII_2803,0.261,0.018 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.17234,MgII,-,-,-,12.47,0.08 ,-,57,17.3, 6.1,YYYY,Y,I
-,2b,2.17353,MgII,-,-,-,13.28,0.10 ,-,45, 9.0, 1.0,YYYY,Y,I
3,-,3.02334,MgII_2796,1.198, $\pm$ 0.03 ,-,14.16, $\pm$ 0.15 ,S,138,-,-,YYYY,Y,I
-,-,3.02334,MgII_2803,0.984, $\pm$ 0.03 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.02224,MgII,-,-,-,12.81,0.15 ,-,51, 9.9,12.1,YYYY,Y,I
-,3b,3.02326,MgII,-,-,-,14.05,0.19 ,S,71,22.4, 3.7,YYYY,Y,I
-,3c,3.02398,MgII,-,-,-,13.41,0.09 ,-,63,19.0, 5.6,YYYY,Y,I
3,-,3.02339,FeII_2382,0.423,0.019 ,-,13.57,0.04 ,-,138,-,-,YYYY,Y,I
-,-,3.02339,FeII_2600,0.397,0.028 ,-,-,-,-,-,-,-,-,-,-
-,-,3.02339,FeII_2344,0.180,0.022 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.02224,FeII,-,-,-,12.40,0.16 ,-,47, 9.9,12.1,YYYY,Y,I
-,3b,3.02326,FeII,-,-,-,13.38,0.04 ,-,69,22.4, 3.7,YYYY,Y,I
-,3c,3.02398,FeII,-,-,-,13.01,0.08 ,-,63,19.0, 5.6,YYYY,Y,I
4,-,3.71343,MgII_2796,0.177,0.011 ,-,12.89,0.07 ,-,49,-,-,YYYY,Y,I
-,-,3.71343,MgII_2803,0.118,0.012 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.71343,MgII,-,-,-,12.89,0.07 ,-,49, 9.2, 2.1,YYYY,Y,I
