# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.74971,MgII_2796,0.190,0.009 ,-,12.77,0.03 ,-,58,-,-,YYYY,Y,I
-,-,2.74971,MgII_2803,0.109,0.014 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.74971,MgII,-,-,-,12.77,0.03 ,-,58,17.6, 2.0,YYYY,Y,I
2,-,4.42930,CIV_1548,0.031,0.003 ,-,12.92,0.06 ,-,53,-,-,YNYY,N,I
-,-,4.42930,CIV_1550,0.016,0.003 ,-,-,-,-,-,-,-,-,-,-
-,2a,4.42931,CIV,-,-,-,12.92,0.06 ,-,53,15.5, 4.5,YNYY,N,I
3,-,4.51586,MgI_2852,0.029, - ,U,11.34, - ,U,55,-,-,YYYY,N,I
-,3a,4.51586,MgI,-,-,-,11.34, - ,U,55,16.0, 1.8,YYYY,N,I
3,-,4.51586,MgII_2796,0.232,0.009 ,-,12.92,0.04 ,-,55,-,-,YYYY,Y,I
-,-,4.51586,MgII_2803,0.141,0.012 ,-,-,-,-,-,-,-,-,-,-
-,3a,4.51586,MgII,-,-,-,12.92,0.04 ,-,55,16.0, 1.8,YYYY,Y,I
3,-,4.51586,SiII_1526,0.056,0.003 ,-,13.38,0.03 ,-,53,-,-,YYYY,N,I
-,3a,4.51586,SiII,-,-,-,13.38,0.03 ,-,53,16.0, 1.8,YYYY,N,I
3,-,4.51586,AlII_1670,0.036,0.005 ,-,11.96,0.09 ,-,53,-,-,YYYY,N,I
-,3a,4.51586,AlII,-,-,-,11.96,0.09 ,-,53,16.0, 1.8,YYYY,N,I
3,-,4.51562,CIV_1548,0.148,0.004 ,-,13.63,0.03 ,-,110,-,-,YYYY,Y,I
-,-,4.51562,CIV_1550,0.079,0.004 ,-,-,-,-,-,-,-,-,-,-
-,3b,4.51562,CIV,-,-,-,13.63,0.03 ,S,110,44.4, 4.0,YYYY,Y,I
4,-,4.53455,CIV_1548,0.177,0.005 ,-,13.71,0.14 ,-,148,-,-,YYYY,Y,I
-,-,4.53455,CIV_1550,0.095,0.005 ,-,-,-,-,-,-,-,-,-,-
-,4a,4.53382,CIV,-,-,-,13.26,0.27 ,-,95,37.7,16.5,YYYY,Y,I
-,4b,4.53466,CIV,-,-,-,13.38,0.22 ,-,65,22.7, 6.9,YYYY,Y,I
-,4c,4.53580,CIV,-,-,-,12.93,0.08 ,-,57,18.8, 6.4,YYYY,Y,I
5,-,4.54626,CIV_1548,0.026,0.003 ,-,12.84,0.04 ,-,53,-,-,YYYY,Y,I
-,-,4.54626,CIV_1550,0.013,0.003 ,-,-,-,-,-,-,-,-,-,-
-,5a,4.54626,CIV,-,-,-,12.84,0.04 ,-,53,16.5, 3.1,YYYY,Y,I
6,-,4.68199,CIV_1548,0.099,0.007 ,-,13.43,0.03 ,-,198,-,-,YYYY,Y,I
-,-,4.68199,CIV_1550,0.052,0.007 ,-,-,-,-,-,-,-,-,-,-
-,6a,4.68119,CIV,-,-,-,13.21,0.04 ,-,71,25.8, 4.0,YYYY,Y,I
-,6b,4.68242,CIV,-,-,-,12.78,0.08 ,-,45, 9.9, 7.4,YYYY,Y,I
-,6c,4.68410,CIV,-,-,-,12.66,0.10 ,-,91,35.9,12.5,YYYY,Y,I
7,-,4.90485,CIV_1548,0.046,0.004 ,-,13.09,0.05 ,-,69,-,-,YYYY,Y,I
-,-,4.90485,CIV_1550,0.024,0.005 ,-,-,-,-,-,-,-,-,-,-
-,7a,4.90485,CIV,-,-,-,13.09,0.05 ,-,69,25.2, 4.8,YYYY,Y,I
8,-,4.97597,CIV_1548,0.072,0.006 ,-,13.28,0.05 ,-,115,-,-,YYYY,Y,I
-,-,4.97597,CIV_1550,0.037,0.006 ,-,-,-,-,-,-,-,-,-,-
-,8a,4.97597,CIV,-,-,-,13.28,0.05 ,-,115,46.9, 3.8,YYYY,Y,I
8,-,4.97597,SiIV_1393,0.057,0.002 ,-,12.83,0.03 ,-,115,-,-,YYYY,Y,I
-,-,4.97597,SiIV_1402,0.029,0.003 ,-,-,-,-,-,-,-,-,-,-
