# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.98055,MgII_2796,0.413,0.037 ,-,13.22,0.11 ,-,158,-,-,YYYY,Y,I
-,-,2.98055,MgII_2803,0.264,0.050 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.97954,MgII,-,-,-,12.86,0.24 ,-,46, 6.1, 0.0,YYYY,Y,I
-,1b,2.98107,MgII,-,-,-,12.97,0.06 ,-,65,20.5, 3.3,YYYY,Y,I
1,-,2.98107,FeII_2382,0.092,0.011 ,-,12.81,0.06 ,-,63,-,-,YYYY,Y,I
-,-,2.98107,FeII_2344,0.034,0.009 ,-,-,-,-,-,-,-,-,-,-
-,1b,2.98107,FeII,-,-,-,12.81,0.06 ,-,63,20.5, 3.3,YYYY,Y,I
2,-,4.51794,MgII_2796,0.199,0.034 ,-,12.94,0.11 ,-,50,-,-,YYYY,Y,I
-,-,4.51794,MgII_2803,0.132,0.013 ,-,-,-,-,-,-,-,-,-,-
-,2a,4.51794,MgII,-,-,-,12.94,0.11 ,-,50,10.5, 6.4,YYYY,Y,I
3,-,5.03488,CIV_1548,0.034,0.005 ,-,12.98,0.06 ,-,49,-,-,YYYY,Y,I
-,-,5.03488,CIV_1550,0.018,0.005 ,-,-,-,-,-,-,-,-,-,-
-,3a,5.03488,CIV,-,-,-,12.98,0.06 ,-,49,11.3, 5.7,YYYY,Y,I
4,-,5.05065,CIV_1548,0.069,0.005 ,-,13.31,0.04 ,-,59,-,-,YYYY,Y,I
-,-,5.05065,CIV_1550,0.038,0.006 ,-,-,-,-,-,-,-,-,-,-
-,4a,5.05065,CIV,-,-,-,13.31,0.04 ,-,59,18.2, 3.9,YYYY,Y,I
5,-,5.26008,CIV_1548,0.032,0.008 ,-,13.02,0.10 ,-,43,-,-,YYYY,Y,I
-,-,5.26008,CIV_1550,0.017,0.008 ,-,-,-,-,-,-,-,-,-,-
-,5a,5.26007,CIV,-,-,-,13.02,0.10 ,-,43, 5.5, 0.0,YYYY,Y,I
6,-,5.36195,CIV_1548,0.545,0.022 ,-,14.37,0.10 ,-,213,-,-,YYYY,Y,I
-,-,5.36195,CIV_1550,0.334,0.014 ,-,-,-,-,-,-,-,-,-,-
-,6a,5.36138,CIV,-,-,-,13.86,0.30 ,S,42, 5.5, 0.0,YYYY,Y,I
-,6b,5.36200,CIV,-,-,-,14.21,0.04 ,S,222,94.1,10.9,YYYY,Y,I
7,-,5.73862,CIV_1548,0.050,0.012 ,-,13.31,0.08 ,-,47,-,-,YYYY,Y,I
-,-,5.73862,CIV_1550,0.032,0.010 ,-,-,-,-,-,-,-,-,-,-
-,7a,5.73862,CIV,-,-,-,13.31,0.08 ,-,47, 6.1, 0.0,YYYY,Y,I
