# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.28999,MgII_2796,0.807,0.009 ,-,13.51,0.03 ,-,243,-,-,YNYY,N,I
-,-,2.28999,MgII_2803,0.511,0.012 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.28861,MgII,-,-,-,12.13,0.08 ,-,42, 5.3, 0.0,YNYY,N,I
-,1b,2.28906,MgII,-,-,-,13.08,0.05 ,-,43, 8.2, 0.9,YNYY,N,I
-,1c,2.28945,MgII,-,-,-,12.50,0.06 ,-,40, 5.3, 0.0,YNYY,N,I
-,1d,2.29022,MgII,-,-,-,13.09,0.03 ,-,65,23.1, 2.2,YNYY,N,I
-,1e,2.29116,MgII,-,-,-,12.51,0.11 ,-,111,44.8,14.6,YNYY,N,I
-,1f,2.29221,MgII,-,-,-,11.81,0.18 ,-,42, 5.3, 0.0,YNYY,N,I
2,-,2.39242,MgI_2852,0.259,0.012 ,-,12.36,0.07 ,-,96,-,-,YYYY,N,I
-,2a,2.39226,MgI,-,-,-,12.21,0.07 ,-,75,27.4, 5.5,YYYY,N,I
-,2b,2.39278,MgI,-,-,-,11.85,0.15 ,-,55,16.5, 3.3,YYYY,N,I
2,-,2.39234,MgII_2796,1.793, $\pm$ 0.01 ,-,15.68, $\pm$ 0.11 ,S,156,-,-,YYYY,Y,I
-,-,2.39234,MgII_2803,1.627, $\pm$ 0.01 ,-,-,-,-,-,-,-,-,-,-
-,2c,2.39162,MgII,-,-,-,13.49,0.05 ,-,77,29.3, 3.2,YYYY,Y,I
-,2d,2.39259,MgII,-,-,-,15.68,0.11 ,S,119,29.5, 0.6,YYYY,Y,I
2,-,2.39251,FeII_2600,1.095, $\pm$ 0.00 ,-,15.02, $\pm$ 0.04 ,S,101,-,-,YYYY,Y,I
-,-,2.39251,FeII_2586,0.858, $\pm$ 0.00 ,-,-,-,-,-,-,-,-,-,-
-,2c,2.39162,FeII,-,-,-,12.84,0.06 ,-,79,29.3, 3.2,YYYY,Y,I
-,2d,2.39259,FeII,-,-,-,15.01,0.04 ,S,95,29.5, 0.6,YYYY,Y,I
2,-,2.39253,MnII_2576,0.134,0.004 ,-,12.84,0.05 ,-,96,-,-,YYYY,N,I
-,-,2.39253,MnII_2594,0.107,0.005 ,-,-,-,-,-,-,-,-,-,-
-,-,2.39253,MnII_2606,0.078,0.007 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.39226,MnII,-,-,-,12.50,0.08 ,-,75,27.4, 5.5,YYYY,N,I
-,2b,2.39278,MnII,-,-,-,12.58,0.06 ,-,55,16.5, 3.3,YYYY,N,I
3,-,2.53875,MgI_2852,0.085, - ,U,11.81, - ,U,77,-,-,YYYN,N,I
-,3a,2.53875,MgI,-,-,-,11.81, - ,U,77,28.7, 1.6,YYYN,N,I
3,-,2.53976,MgII_2796,2.474, $\pm$ 0.03 ,-,14.97, $\pm$ 0.11 ,S,256,-,-,YYYY,Y,I
-,-,2.53976,MgII_2803,2.120, $\pm$ 0.03 ,-,-,-,-,-,-,-,-,-,-
-,3a,2.53875,MgII,-,-,-,14.62,0.13 ,S,94,28.7, 1.6,YYYY,Y,I
-,3b,2.53936,MgII,-,-,-,14.66,0.18 ,S,87,26.0, 2.3,YYYY,Y,I
-,3c,2.54074,MgII,-,-,-,13.45,0.04 ,-,148,61.5, 6.5,YYYY,Y,I
-,3d,2.54122,MgII,-,-,-,13.49,0.10 ,-,53,16.0, 2.1,YYYY,Y,I
3,-,2.53924,FeII_2600,1.349, $\pm$ 0.01 ,-,14.64, $\pm$ 0.03 ,S,128,-,-,YYYY,Y,I
-,-,2.53924,FeII_2586,0.961, $\pm$ 0.01 ,-,-,-,-,-,-,-,-,-,-
-,3a,2.53875,FeII,-,-,-,14.45,0.03 ,S,79,28.7, 1.6,YYYY,Y,I
-,3b,2.53936,FeII,-,-,-,14.15,0.06 ,-,71,26.0, 2.3,YYYY,Y,I
