# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.29755,MgI_2852,0.540,0.019 ,-,12.72,0.03 ,-,145,-,-,YYYY,N,I
-,1a,2.29682,MgI,-,-,-,12.00,0.10 ,-,83,31.4, 2.5,YYYY,N,I
-,1b,2.29775,MgI,-,-,-,12.63,0.03 ,-,96,37.8, 2.4,YYYY,N,I
1,-,2.29748,MgII_2796,2.325,0.01 ,-,15.23,0.14 ,S,196,-,-,YYYY,Y,I
-,-,2.29748,MgII_2803,2.163,0.00 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.29682,MgII,-,-,-,14.77,0.28 ,S,104,31.4, 2.5,YYYY,Y,I
-,1b,2.29775,MgII,-,-,-,15.04,0.15 ,S,131,37.8, 2.4,YYYY,Y,I
-,1c,2.29887,MgII,-,-,-,12.79,0.04 ,-,53,15.5, 2.1,YYYY,Y,I
2,-,3.85803,FeII_2600,0.432,0.024 ,-,13.97,0.04 ,-,86,-,-,YYYY,Y,I
-,-,3.85803,FeII_2382,0.423,0.011 ,-,-,-,-,-,-,-,-,-,-
-,-,3.85803,FeII_2344,0.271,0.019 ,-,-,-,-,-,-,-,-,-,-
-,-,3.85803,FeII_2586,0.238,0.016 ,-,-,-,-,-,-,-,-,-,-
-,-,3.85803,FeII_2374,0.117,0.016 ,-,-,-,-,-,-,-,-,-,-
-,2a,3.85783,FeII,-,-,-,13.92,0.05 ,-,55,13.0, 0.9,YYYY,Y,I
-,2b,3.85864,FeII,-,-,-,13.00,0.10 ,-,51,10.0, 7.5,YYYY,Y,I
3,-,4.68112,MgII_2796,0.078,0.012 ,-,12.43,0.06 ,-,49,-,-,YYYY,Y,I
-,-,4.68112,MgII_2803,0.048,0.011 ,-,-,-,-,-,-,-,-,-,-
-,3a,4.68112,MgII,-,-,-,12.43,0.06 ,-,49, 6.4, 0.0,YYYY,Y,I
4,-,4.91337,CIV_1548,0.149,0.004 ,-,13.62,0.02 ,-,231,-,-,YYYY,Y,I
-,-,4.91337,CIV_1550,0.079,0.004 ,-,-,-,-,-,-,-,-,-,-
-,4a,4.91166,CIV,-,-,-,13.28,0.03 ,-,75,27.0, 2.4,YYYY,Y,I
-,4b,4.91375,CIV,-,-,-,12.72,0.10 ,-,75,27.8,10.8,YYYY,Y,I
