# transition   rest-wavelength(nm)
OII_832           83.2757200 
OIII_832          83.2927000 
OII_833           83.3329400 
OII_834           83.4465500 
FeIII_859         85.9723000 
CII_903           90.3623400 
CII_904           90.3961600 
Ly_lim            91.1800000 
PIII_913          91.3968300 
Ly_15             91.5328900 
NII_915           91.5613100 
Ly_14             91.5823800 
Ly_13             91.6429100 
D_12              91.6931000 
PIII_917          91.7117800 
Ly_12             91.7180500 
D_11              91.7879600 
Ly_11             91.8129300 
D_10              91.9101300 
Ly_10             91.9351300 
D_9               92.0712500 
Ly_9              92.0963000 
D_8               92.2899200 
Ly_8              92.3150300 
D_7               92.5973700 
Ly_7              92.6225600 
D_6               93.0495000 
Ly_6              93.0748200 
SVI_933           93.3378000 
OI_936            93.6629500 
D_e               93.7548300 
Ly_e              93.7803400 
SVI_944           94.4523000 
CI_945            94.5191000 
OI_948            94.8685500 
D_d               94.9484600 
Ly_d              94.9743000 
PII_961           96.1041200 
PII_963           96.3800500 
NI_963            96.3990300 
NI_964            96.4625600 
NI_965            96.5041300 
OI_971            97.1738200 
D_g               97.2272200 
Ly_g              97.2536700 
OI_976            97.6448100 
CIII_977          97.7020100 
OIb_988           98.8654900 
OIa_988           98.8773400 
NIII_989          98.9799000 
SIII_1012        101.2495000 
D_b              102.5443200 
Ly_b             102.5722200 
OI_1025          102.5761600 
MgII_1025        102.5968100 
MgII_1026        102.6113400 
OVI_1031         103.1926100 
CII_1036         103.6336700 
OVI_1037         103.7616700 
OI_1039          103.9230400 
ArI_1048         104.8219900 
SIV_1062         106.2664000 
ArI_1066         106.6659800 
FeII_1081        108.1874800 
NII_1083         108.3993700 
FeII_1096        109.6876900 
PV_1117          111.7977400 
FeII_1122        112.1974800 
FeIII_1122       112.2524000 
PV_1128          112.8007800 
FeII_1133        113.3665400 
NI_1134a         113.4165300 
NI_1134b         113.4414900 
NI_1134c         113.4980300 
FeII_1142        114.2365600 
FeII_1143        114.3226000 
FeII_1145        114.4937900 
PII_1152         115.2818000 
SIII_1190        119.0203000 
SiII_1190        119.0415800 
SiII_1193        119.3289700 
MnII_1197        119.7184000 
MnII_1199        119.9391000 
NI_1199          119.9549600 
NI_1200          120.0223300 
NI_1201          120.0709800 
SiIII_1206       120.6500000 
D_a              121.5339400 
Ly_a             121.5670000 
NV_1238          123.8821000 
MgII_1239        123.9925300 
MgII_1240        124.0394700 
NV_1242          124.2804000 
SII_1250         125.0578000 
SII_1253         125.3805000 
SiI_1255         125.5272000 
SII_1259         125.9518000 
SiII_1260        126.0422100 
FeII_1260        126.0533000 
SiII*_1264       126.4737700 
CI_1277          127.7245200 
TiIII_1298       129.8697000 
OI_1302          130.2168500 
SiII_1304        130.4370200 
NiII_1317        131.7217000 
CII_1334         133.4532300 
CII*_1335        133.5707700 
CuII_1358        135.8773000 
NiII_1370        137.0132000 
SiIV_1393        139.3760200 
SnII_1400        140.0400000 
SiIV_1402        140.2772900 
GaII_1414        141.4402000 
NiII_1454        145.4842000 
CoII_1466        146.6211000 
SiII_1526        152.6707000 
CIV_1548         154.8204000 
CIV_1550         155.0781000 
CI_1560          156.0309200 
SiI_1562         156.2001000 
CoII_1574        157.4550800 
ZnI_1589         158.9561000 
FeII_1608        160.8451100 
FeII_1611        161.1200500 
SiI_1625         162.5705800 
SiI_1631         163.1170000 
CI_1656          165.6928400 
AlII_1670        167.0788610 
NiII_1709        170.9604200 
NiII_1741        174.1553100 
NiII_1751        175.1915700 
SiII_1808        180.8012900 
MgI_1827         182.7935100 
SiI_1845         184.5520500 
FeI_1851         185.1690200 
AlIII_1854       185.4718400 
AlIII_1862       186.2791000 
CoII_1941        194.1285200 
CoII_2012        201.2166400 
ZnII_2026        202.6137000 
MgI_2026         202.6476800 
CrII_2056        205.6256900 
CrII_2062        206.2236100 
ZnII_2062        206.2660400 
CrII_2066        206.6164000 
ZnI_2139         213.9247700 
FeI_2167         216.7453400 
FeII_2249        224.9876800 
FeII_2260        226.0780500 
FeI_2298         229.8876900 
FeII_2344        234.4213900 
FeII_2367        236.7590500 
FeII_2374        237.4461200 
FeII_2382        238.2765200 
FeI_2463         246.3392200 
FeI_2484         248.4020900 
FeI_2501         250.1885800 
SiI_2515         251.5072500 
FeI_2523         252.3608300 
MnII_2576        257.6877000 
FeII_2586        258.6650000 
MnII_2594        259.4499000 
FeII_2600        260.0172900 
MnII_2606        260.6462000 
FeI_2719         271.9832900 
MgII_2796        279.6354300 
MgII_2803        280.3531500 
MgI_2852         285.2963100 
FeI_2967         296.7764600 
FeI_2984         298.4440200 
FeI_3021         302.1518700 
TiII_3384        338.4730400 
FeI_3441         344.1591800 
H_15             369.7120000 
H_14             370.3820000 
H_13             371.1940000 
FeI_3720         372.0992800 
H_12             372.1910000 
H_11             373.4340000 
H_10             375.0120000 
H_9              377.0600000 
H_8              379.7870000 
H_7              383.5350000 
FeI_3861         386.1005800 
H_6              388.9020000 
CaII_3934        393.4775000 
CaII_3969        396.9590100 
H_e              397.0080000 
H_d              410.1740000 
CaI_4227         422.7918000 
H_g              434.0470000 
H_b              486.1340000 
NaI_5891         589.1583300 
NaI_5897         589.7558100 
H_a              656.2830000 
LiI_6709         670.9627600 
KI_7701          770.1083500 
Pa_15            843.7750000 
Pa_14            846.7040000 
Pa_13            850.2270000 
Pa_12            854.5170000 
Pa_11            859.8180000 
Pa_10            866.4800000 
Pa_9             875.0250000 
Pa_8             886.2550000 
Pa_7             901.4670000 
Pa_6             922.8770000 
Pa_e             954.5700000 
Pa_d             1004.940000 
Pa_g             1093.810000 
Pa_b             1281.810000 
Br_15            1525.990000 
Br_14            1534.110000 
Br_13            1543.820000 
Br_12            1555.570000 
Br_11            1569.990000 
Br_10            1587.980000 
Br_9             1610.860000 
Br_8             1640.640000 
Br_7             1680.570000 
Br_6             1736.120000 
Br_e             1817.320000 
Pa_a             1875.100000 
Br_d             1944.450000 
Br_g             2165.520000 
Br_b             2625.140000
