Quasar,Redshift,R(VIS),R(NIR)
SDSSJ0927+2001,5.7720,12900,9400
PSOJ065+01,5.7900,10700,9700
PSOJ308-27,5.7985,11800,10600
SDSSJ0836+0054,5.8100,13100,10200
PSOJ242-12,5.8300,10700,9700
PSOJ025-11,5.8500,10500,9700
PSOJ183-12,5.8600,11900,10000
PSOJ023-02,5.9000,10900,9700
PSOJ108+08,5.9485,12200,9800
PSOJ089-15,5.9570,12000,9700
J2250-5015,5.9767,10800,9600
ULASJ0148+0600,5.9800,13300,10000
PSOJ029-29,5.9840,10800,9900
PSOJ007+04,6.0008,11500,9700
SDSSJ2310+1855,6.0031,12700,9800
PSOJ009-10,6.0039,11500,10500
ATLASJ029-36,6.0200,10100,9200
SDSSJ0818+1722,6.0200,11000,7600
SDSSJ1306+0356,6.0337,12000,9600
J0408-5632,6.0345,11300,9700
PSOJ158-14,6.0679,10800,9100
SDSSJ0842+1218,6.0763,11400,10000
PSOJ239-07,6.1106,11300,11000
CFHQSJ1509-1749,6.1225,11800,8000
ULASJ1319+0950,6.1330,13700,9800
PSOJ217-16,6.1498,11500,10200
PSOJ217-07,6.1663,11200,9900
PSOJ359-06,6.1722,11300,10000
PSOJ060+24,6.1800,11500,10300
PSOJ065-26,6.1877,11700,10500
SDSSJ1030+0524,6.3080,12300,8400
SDSSJ0100+2802,6.3258,11400,10300
ATLASJ025-33,6.3379,11200,9300
J2211-3206,6.3394,10600,9100
J1535+1943,6.3800,11600,9700
J1212+0505,6.4386,11900,10200
J0439+1634,6.5188,9500,8200
VDESJ0224-4711,6.5260,11200,9400
PSOJ036+03,6.5412,10700,9200
PSOJ231-20,6.5864,10800,9800
PSOJ323+12,6.5881,10900,9800
J0923+0402,6.6336,11600,10200
